case_name,promotion_status,consistency_status,mismatch_field_count,mismatch_fields,notes
Salt 1,blocked_by_mismatch,mismatch,12,TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C;unlabeled_TW11_K_excluded,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Salt 2,blocked_by_mismatch,mismatch,11,TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Salt 3,blocked_by_mismatch,mismatch,17,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Salt 4,blocked_by_mismatch,mismatch,17,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Water 1,blocked_by_mismatch,mismatch,18,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C;unlabeled_TW11_K_excluded,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Water 2,blocked_by_mismatch,mismatch,17,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Water 3,blocked_by_mismatch,mismatch,17,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
Water 4,blocked_by_mismatch,mismatch,17,TP1_C;TP2_C;TP3_C;TP4_C;TP5_C;TP6_C;TW1_C;TW2_C;TW3_C;TW4_C;TW5_C;TW6_C;TW7_C;TW8_C;TW9_C;TW10_C;TW11_C,Workbook values differ from the canonical wide tables; keep blocked until the discrepancy is resolved.
