study_case,source_id,fluid_family,heater_h_W_m2K,cooler_h_W_m2K,test_section_h_W_m2K,insulated_h_W_m2K,outer_insulation_in,bc_note
Salt 1,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt,8.761,31.29071065643277,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in
Salt 2,val_salt_test_2_coarse_mesh_laminar,salt,8.761,28.57706637639941,5.964,5.964,1.65,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.65 in
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,salt,8.761,29.871708360729436,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,salt,8.761,29.686756197250634,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in
Water 1,val_water_test_1_coarse_mesh_laminar,water,8.761,105.01276709392775,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in
Water 2,val_water_test_2_coarse_mesh_laminar,water,8.761,105.26501991603676,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in
Water 3,val_water_test_3_coarse_mesh_laminar,water,8.761,108.63406705855405,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in
Water 4,val_water_test_4_coarse_mesh_laminar,water,8.761,108.76017831603211,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in
