study_case,source_id,fluid_family,run_status,convergence_reached,steady_state_class,selection_rationale,final_time_s,final_net_total_q_pct_of_heater,late_window_mdot_drift_pct,late_window_probe_drift_k,exp_tp_rmse_k,exp_tw_rmse_k,exp_all_temp_rmse_k,exp_mdot_abs_error_pct,exp_q_external_loss_abs_error_pct,tp_max_abs_error_label,tp_max_abs_error_k,tw_max_abs_error_label,tw_max_abs_error_k,sim_mdot_kg_s,exp_mdot_kg_s,sim_total_wall_q_net_w,sim_ambient_proxy_w,heater_h_W_m2K,cooler_h_W_m2K,test_section_h_W_m2K,insulated_h_W_m2K,outer_insulation_in,three_d_loss_bc_summary,has_validation_metrics,has_section_heat_loss,has_latest_section_pressure,has_axial_q_profile,has_axial_T_profile,has_axial_Nu_profile,has_derived_internal_htc,has_thermal_circuit,notes
Salt 1,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt,completed,False,not_steady_enough,"Completed staged Salt 1 restart candidate, but not fully converged and still not steady enough.",3279.163522013,4.084298,1.2806326660609235e-06,0.0,17.329684694597706,17.690732707468666,17.55620984679648,30.809515537974686,27.346344175812238,TP3,19.337495999999987,TW5,27.13952574999996,0.010932096545,0.0158,-9.48782502563005,167.80591747262997,8.761,31.29071065643277,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,yes,yes,yes,yes,no,no,no,no,Treat as not fully converged; residual heat-balance floor remains too large.
Salt 2,val_salt_test_2_coarse_mesh_laminar,salt,running,False,essentially_steady,Current manuscript representative and active continuation target; use the latest written continuation step for postprocessing.,4066.0,0.239954,0.010746826468248729,0.030223666666643112,2.573896609361759,6.2626823688395215,5.195921279377687,18.951017976190467,20.574219228738393,TP4,4.138948999999968,TW4,11.034264000000007,0.01361622898,0.0168,0.5755218693000135,187.77204918069998,8.761,28.57706637639941,5.964,5.964,1.65,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.65 in,yes,yes,yes,yes,no,no,no,no,"postprocess anchor should follow the latest written continuation step; published validation metrics are still from the current report package snapshot"
Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,salt,terminated,False,essentially_steady,Best current Salt 3 mdot agreement with practical steadiness.,2515.0,0.326890,0.019718272105937067,0.0286111666666784,2.1338924649904922,6.904353795656094,5.612608549444536,14.711376500000014,19.009679138345895,TP3,3.9646909999999593,TW5,16.385128500000008,0.014925509112499999,0.0175,0.9724962812299758,211.76299764877,8.761,29.871708360729436,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,yes,yes,yes,yes,no,no,no,no,late-window drift is tiny and net heat-balance residual is below 0.5% of heater power
Salt 4,viscosity_screening_salt_test_4_jin_coarse_mesh,salt,terminated,False,borderline_but_usable,User-priority case; practically usable but still the most borderline of Salt 2-4.,2083.0,0.110311,0.6455857140406753,0.007544499999994514,1.687564177784045,7.555170550541495,6.061627553731621,15.496810024875622,17.40163440703854,TP1,3.026867999999979,TW5,18.717683499999964,0.016985141185,0.0201,0.37240998471996534,244.24024581527993,8.761,29.686756197250634,5.964,5.964,1.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,yes,yes,yes,yes,no,no,no,no,"tail is flat enough for practical use, but residual heat-balance floor is still noticeable"
Water 1,val_water_test_1_coarse_mesh_laminar,water,terminated,False,borderline_but_usable,Direct laminar validation row for the water test.,5274.0,0.347124,0.792297,0.758051,0.88321229435125,1.6726777853082744,1.4286990033767857,21.60989997891566,5.6368920211303,TP1,1.2340020000000322,TW6,3.561533249999968,0.00650637830175,0.0083,0.20410911985999158,26.37464932014,8.761,105.01276709392775,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in,yes,yes,no,no,no,no,no,no,"Residual is small, but late-window drift is still noticeable."
Water 2,val_water_test_2_coarse_mesh_laminar,water,terminated,False,borderline_but_usable,Direct laminar validation row for the water test.,3985.0,0.264696,1.173462,0.515412,0.6121655544209731,2.048164218012501,1.6620440471672377,21.657708990000003,6.997719125082173,TP3,0.8966170000000488,TW6,5.25411274999999,0.007834229101,0.01,-0.20540415133998202,35.23596008134,8.761,105.26501991603676,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in,yes,yes,no,no,no,no,no,no,"Residual is small, but late-window drift is still noticeable."
Water 3,val_water_test_3_coarse_mesh_laminar,water,terminated,False,borderline_but_usable,Direct laminar validation row for the water test.,3732.0,0.242469,0.126864,0.378161,0.5659696634330741,2.253674015309304,1.815082567549664,25.560936558333335,6.548594011338947,TP6,0.7473810000000753,TW6,5.817128499999967,0.008932687613,0.012,-0.22549567818999927,42.01837268819,8.761,108.63406705855405,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in,yes,yes,no,no,no,no,no,no,"Residual is small, but late-window drift is still noticeable."
Water 4,val_water_test_4_coarse_mesh_laminar,water,terminated,False,borderline_but_usable,Direct laminar validation row for the water test.,2542.0,0.102047,7.881684,1.046405,1.0077773179119107,2.902493919375731,2.3761628765606178,28.00657187086093,4.632730759523292,TP4,1.1551709999999957,TW6,7.191967750000003,0.0108710076475,0.0151,0.13164142335999518,59.585540226640006,8.761,108.76017831603211,5.964,5.964,0.4,patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in,yes,yes,no,no,no,no,no,no,"Residual is small, but late-window drift is still noticeable."
