target_case_name,candidate_case_name,candidate_case_dir,candidate_top_level_folder,distance_score,compared_fields,review_status
Salt 1,2024_05_04__2,2024_05_04/2,2024_05_04,0.097856,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 1,2024_05_04__1,2024_05_04/1,2024_05_04,0.109565,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 1,2024_05_04__3,2024_05_04/3,2024_05_04,0.135499,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 1,2024_05_04__4,2024_05_04/4,2024_05_04,0.184081,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 1,2024_05_04__6,2024_05_04/6,2024_05_04,0.201951,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 2,2024_05_04__2,2024_05_04/2,2024_05_04,0.077936,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 2,2024_05_04__3,2024_05_04/3,2024_05_04,0.101383,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 2,2024_05_04__1,2024_05_04/1,2024_05_04,0.149445,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 2,2024_05_04__4,2024_05_04/4,2024_05_04,0.15695,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 2,2024_05_04__6,2024_05_04/6,2024_05_04,0.17739,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 3,2024_05_04__3,2024_05_04/3,2024_05_04,0.089506,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 3,2024_05_04__2,2024_05_04/2,2024_05_04,0.130963,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 3,2024_05_04__4,2024_05_04/4,2024_05_04,0.146097,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 3,2024_05_04__6,2024_05_04/6,2024_05_04,0.168984,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 3,2024_05_04__5,2024_05_04/5,2024_05_04,0.178169,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 4,2024_05_04__4,2024_05_04/4,2024_05_04,0.12947,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 4,2024_05_04__3,2024_05_04/3,2024_05_04,0.149064,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 4,2024_05_04__6,2024_05_04/6,2024_05_04,0.155441,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 4,2024_05_04__5,2024_05_04/5,2024_05_04,0.165864,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Salt 4,2024_05_04__2,2024_05_04/2,2024_05_04,0.185596,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 1,2025_05_20__4,2025_05_20/4,2025_05_20,0.5327,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 1,2025_03_19__4,2025_03_19/4,2025_03_19,0.556,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 1,2025_03_19__7,2025_03_19/7,2025_03_19,0.556,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 1,2025_06_19__13,2025_06_19/13,2025_06_19,0.556995,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 1,2025_06_19__14,2025_06_19/14,2025_06_19,0.556995,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 2,2025_03_19__4,2025_03_19/4,2025_03_19,0.517556,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 2,2025_03_19__7,2025_03_19/7,2025_03_19,0.517556,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 2,2024_05_04__1,2024_05_04/1,2024_05_04,0.539898,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 2,2025_03_19__2,2025_03_19/2,2025_03_19,0.558738,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 2,2025_03_19__3,2025_03_19/3,2025_03_19,0.558738,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 3,2024_05_04__1,2024_05_04/1,2024_05_04,0.46077,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 3,2025_03_19__4,2025_03_19/4,2025_03_19,0.476667,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 3,2025_03_19__7,2025_03_19/7,2025_03_19,0.476667,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 3,2024_05_04__2,2024_05_04/2,2024_05_04,0.494843,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 3,2024_05_04__3,2024_05_04/3,2024_05_04,0.509914,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 4,2025_03_19__4,2025_03_19/4,2025_03_19,0.398333,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 4,2025_03_19__7,2025_03_19/7,2025_03_19,0.398333,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 4,2025_03_19__2,2025_03_19/2,2025_03_19,0.448783,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 4,2025_03_19__3,2025_03_19/3,2025_03_19,0.448783,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
Water 4,2025_03_19__6,2025_03_19/6,2025_03_19,0.448783,"heater_power_W,air_flow_Lpm,test_section_power_W",advisory_only
