case_id,n_snapshots,rmse,relative_frobenius_error,source_run_dir,source_run_name,variant,surface,surface_label,model_name,model_label,case_label
jsalt2_moose_mesh_convergence_nm016_ord2_csv,868,0.3224290561886181,0.0008014957259594,outputs/analysis_followups/jsalt2_compare_equiv_with_h_20260602,run_005__pod_dmdc__pod0p999__dmdcfull__delay1,with_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm016_ord2
jsalt2_moose_mesh_convergence_nm024_ord1_csv,868,0.3356857100963499,0.0008344536470035,outputs/analysis_followups/jsalt2_compare_equiv_with_h_20260602,run_005__pod_dmdc__pod0p999__dmdcfull__delay1,with_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm024_ord1
jsalt2_moose_mesh_convergence_nm024_ord2_csv,874,0.3341610438483284,0.0008306583621855,outputs/analysis_followups/jsalt2_compare_equiv_with_h_20260602,run_005__pod_dmdc__pod0p999__dmdcfull__delay1,with_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm024_ord2
jsalt2_moose_mesh_convergence_nm016_ord2_csv,865,0.1721902849160557,0.0004280316275269,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601,run_147__dmdc__pod2__dmdcfull__delay4,with_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm016_ord2
jsalt2_moose_mesh_convergence_nm024_ord1_csv,865,0.148280246999005,0.0003685978925727,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601,run_147__dmdc__pod2__dmdcfull__delay4,with_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm024_ord1
jsalt2_moose_mesh_convergence_nm024_ord2_csv,871,0.1980020482342636,0.0004921941866418,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601,run_147__dmdc__pod2__dmdcfull__delay4,with_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm024_ord2
jsalt2_moose_mesh_convergence_nm016_ord2_csv,868,0.3750633820900561,0.0009323343908968,outputs/analysis_followups/jsalt2_compare_equiv_no_h_20260602,run_006__pod_dmdc__pod0p999__dmdcfull__delay1,no_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm016_ord2
jsalt2_moose_mesh_convergence_nm024_ord1_csv,868,0.3732821697527485,0.000927911610602,outputs/analysis_followups/jsalt2_compare_equiv_no_h_20260602,run_006__pod_dmdc__pod0p999__dmdcfull__delay1,no_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm024_ord1
jsalt2_moose_mesh_convergence_nm024_ord2_csv,874,0.3703449167241498,0.0009206043242713,outputs/analysis_followups/jsalt2_compare_equiv_no_h_20260602,run_006__pod_dmdc__pod0p999__dmdcfull__delay1,no_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),nm024_ord2
jsalt2_moose_mesh_convergence_nm016_ord2_csv,865,0.1690809129432785,0.0004203023323071,outputs/overnight_sweeps/jsalt2_no_h_repaired_20260601,run_147__dmdc__pod2__dmdcfull__delay4,no_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm016_ord2
jsalt2_moose_mesh_convergence_nm024_ord1_csv,865,0.1461431888485435,0.0003632855522812,outputs/overnight_sweeps/jsalt2_no_h_repaired_20260601,run_147__dmdc__pod2__dmdcfull__delay4,no_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm024_ord1
jsalt2_moose_mesh_convergence_nm024_ord2_csv,871,0.193560432687213,0.0004811532031214,outputs/overnight_sweeps/jsalt2_no_h_repaired_20260601,run_147__dmdc__pod2__dmdcfull__delay4,no_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),nm024_ord2
