variant,surface,surface_label,model_name,model_label,run_name,pod_rank,dmdc_rank,n_delays,train_rollout_rmse,test_rollout_rmse,generalization_gap,spectral_radius,n_unstable_eigenvalues,stability_status,run_dir
with_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),run_005__pod_dmdc__pod0p999__dmdcfull__delay1,0.999,full,1,0.3148305154931182,0.3308193645862872,0.015988849093169,0.9950743257827241,0.0,stable_by_spectral_radius,outputs/analysis_followups/jsalt2_compare_equiv_with_h_20260602
with_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),run_147__dmdc__pod2__dmdcfull__delay4,2.0,full,4,0.17455614096853145,0.17407191740679362,-0.00048422356173782877,0.9999992828469999,0.0,marginal,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
no_h,delay1_compare_surface,Delay-1 compare surface,pod_dmdc,pod_dmdc (delay=1),run_006__pod_dmdc__pod0p999__dmdcfull__delay1,0.999,full,1,0.3757088921168055,0.37289603980526714,-0.002812852311538383,0.995107814291526,0.0,stable_by_spectral_radius,outputs/analysis_followups/jsalt2_compare_equiv_no_h_20260602
no_h,broader_tuned_surface,Broader tuned sweep,dmdc,dmdc (delay=4),run_147__dmdc__pod2__dmdcfull__delay4,2.0,full,4,0.17493012231178154,0.17075270970574585,-0.004177412606035685,0.9999992030113756,0.0,marginal,outputs/overnight_sweeps/jsalt2_no_h_repaired_20260601
