run_name,model_name,pod_rank,dmdc_rank,n_delays,center,scale,train_rollout_rmse,test_rollout_rmse,generalization_gap,generalization_ratio,spectral_radius,n_unstable_eigenvalues,stability_status,status,error_message,variant,surface,run_dir
run_099__adaptive_dmdc__pod2__dmdcfull__delay4,adaptive_dmdc,2.0,full,4,True,False,0.1650311923595554,0.1639387094252628,-0.0010924829342925,0.9933801427556048,6.562900910248169,7.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_111__adaptive_dmdc__pod3__dmdcfull__delay4,adaptive_dmdc,3.0,full,4,True,False,0.1650311923595554,0.1639387094252628,-0.0010924829342925,0.9933801427556048,6.562900910248169,7.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_123__adaptive_dmdc__pod4__dmdcfull__delay4,adaptive_dmdc,4.0,full,4,True,False,0.1650311923595554,0.1639387094252628,-0.0010924829342925,0.9933801427556048,6.562900910248169,7.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_135__adaptive_dmdc__pod0p999__dmdcfull__delay4,adaptive_dmdc,0.999,full,4,True,False,0.1650311923595554,0.1639387094252628,-0.0010924829342925,0.9933801427556048,6.562900910248169,7.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_147__dmdc__pod2__dmdcfull__delay4,dmdc,2.0,full,4,True,False,0.1745561409685314,0.1740719174067936,-0.0004842235617378,0.9972259723487752,0.999999282847,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_159__dmdc__pod3__dmdcfull__delay4,dmdc,3.0,full,4,True,False,0.1745561409685314,0.1740719174067936,-0.0004842235617378,0.9972259723487752,0.999999282847,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_171__dmdc__pod4__dmdcfull__delay4,dmdc,4.0,full,4,True,False,0.1745561409685314,0.1740719174067936,-0.0004842235617378,0.9972259723487752,0.999999282847,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_183__dmdc__pod0p999__dmdcfull__delay4,dmdc,0.999,full,4,True,False,0.1745561409685314,0.1740719174067936,-0.0004842235617378,0.9972259723487752,0.999999282847,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_195__ridge_dmdc__pod2__dmdcfull__delay4,ridge_dmdc,2.0,full,4,True,False,0.2386712845368352,0.2489508299289733,0.0102795453921381,1.0430698875739768,0.9999988109184124,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_207__ridge_dmdc__pod3__dmdcfull__delay4,ridge_dmdc,3.0,full,4,True,False,0.2386712845368352,0.2489508299289733,0.0102795453921381,1.0430698875739768,0.9999988109184124,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_219__ridge_dmdc__pod4__dmdcfull__delay4,ridge_dmdc,4.0,full,4,True,False,0.2386712845368352,0.2489508299289733,0.0102795453921381,1.0430698875739768,0.9999988109184124,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
