run_name,model_name,pod_rank,dmdc_rank,n_delays,center,scale,train_rollout_rmse,test_rollout_rmse,generalization_gap,generalization_ratio,spectral_radius,n_unstable_eigenvalues,stability_status,status,error_message,variant,surface,run_dir
run_231__ridge_dmdc__pod0p999__dmdcfull__delay4,ridge_dmdc,0.999,full,4,True,False,0.2386712845368352,0.2489508299289733,0.0102795453921381,1.0430698875739768,0.9999988109184124,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_146__dmdc__pod2__dmdcfull__delay2,dmdc,2.0,full,2,True,False,0.3138657351107449,0.3033445210667888,-0.0105212140439561,0.966478615321791,0.9999998440978772,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_158__dmdc__pod3__dmdcfull__delay2,dmdc,3.0,full,2,True,False,0.3138657351107449,0.3033445210667888,-0.0105212140439561,0.966478615321791,0.9999998440978772,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_170__dmdc__pod4__dmdcfull__delay2,dmdc,4.0,full,2,True,False,0.3138657351107449,0.3033445210667888,-0.0105212140439561,0.966478615321791,0.9999998440978772,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_182__dmdc__pod0p999__dmdcfull__delay2,dmdc,0.999,full,2,True,False,0.3138657351107449,0.3033445210667888,-0.0105212140439561,0.966478615321791,0.9999998440978772,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_098__adaptive_dmdc__pod2__dmdcfull__delay2,adaptive_dmdc,2.0,full,2,True,False,0.4751225137979906,0.3143826070797238,-0.1607399067182667,0.6616874552347375,2.2669944686679275,1.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_110__adaptive_dmdc__pod3__dmdcfull__delay2,adaptive_dmdc,3.0,full,2,True,False,0.4751225137979906,0.3143826070797238,-0.1607399067182667,0.6616874552347375,2.2669944686679275,1.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_122__adaptive_dmdc__pod4__dmdcfull__delay2,adaptive_dmdc,4.0,full,2,True,False,0.4751225137979906,0.3143826070797238,-0.1607399067182667,0.6616874552347375,2.2669944686679275,1.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_134__adaptive_dmdc__pod0p999__dmdcfull__delay2,adaptive_dmdc,0.999,full,2,True,False,0.4751225137979906,0.3143826070797238,-0.1607399067182667,0.6616874552347375,2.2669944686679275,1.0,potentially_unstable,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_267__pod_dmdc__pod4__dmdcfull__delay4,pod_dmdc,4.0,full,4,True,False,0.2988540669933602,0.3157709826640715,0.0169169156707112,1.0566059409560826,0.9950849641824068,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_279__pod_dmdc__pod0p999__dmdcfull__delay4,pod_dmdc,0.999,full,4,True,False,0.2988540669933602,0.3157709826640715,0.0169169156707112,1.0566059409560826,0.9950849641824068,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_266__pod_dmdc__pod4__dmdcfull__delay2,pod_dmdc,4.0,full,2,True,False,0.3102317397829101,0.3263445070867352,0.0161127673038251,1.0519378427078427,0.9950916268747918,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_278__pod_dmdc__pod0p999__dmdcfull__delay2,pod_dmdc,0.999,full,2,True,False,0.3102317397829101,0.3263445070867352,0.0161127673038251,1.0519378427078427,0.9950916268747918,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_265__pod_dmdc__pod4__dmdcfull__delay1,pod_dmdc,4.0,full,1,True,False,0.3148305154924956,0.3308193645856169,0.0159888490931213,1.0507855760681573,0.9950743257826972,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_277__pod_dmdc__pod0p999__dmdcfull__delay1,pod_dmdc,0.999,full,1,True,False,0.3148305154924956,0.3308193645856169,0.0159888490931213,1.0507855760681573,0.9950743257826972,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_194__ridge_dmdc__pod2__dmdcfull__delay2,ridge_dmdc,2.0,full,2,True,False,0.328210664346538,0.3343789401468788,0.0061682758003407,1.018793648319203,0.9999990164767064,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_206__ridge_dmdc__pod3__dmdcfull__delay2,ridge_dmdc,3.0,full,2,True,False,0.328210664346538,0.3343789401468788,0.0061682758003407,1.018793648319203,0.9999990164767064,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_218__ridge_dmdc__pod4__dmdcfull__delay2,ridge_dmdc,4.0,full,2,True,False,0.328210664346538,0.3343789401468788,0.0061682758003407,1.018793648319203,0.9999990164767064,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_230__ridge_dmdc__pod0p999__dmdcfull__delay2,ridge_dmdc,0.999,full,2,True,False,0.328210664346538,0.3343789401468788,0.0061682758003407,1.018793648319203,0.9999990164767064,0.0,marginal,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_276__pod_dmdc__pod4__dmdc4__delay4,pod_dmdc,4.0,4,4,True,False,0.3618635700536727,0.3591812014218813,-0.0026823686317913,0.9925873482334971,0.9951173097193994,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_288__pod_dmdc__pod0p999__dmdc4__delay4,pod_dmdc,0.999,4,4,True,False,0.3618635700536727,0.3591812014218813,-0.0026823686317913,0.9925873482334971,0.9951173097193994,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_275__pod_dmdc__pod4__dmdc4__delay2,pod_dmdc,4.0,4,2,True,False,0.3717014551054435,0.3687751961393435,-0.0029262589660999,0.9921273943754944,0.9951246787569504,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_287__pod_dmdc__pod0p999__dmdc4__delay2,pod_dmdc,0.999,4,2,True,False,0.3717014551054435,0.3687751961393435,-0.0029262589660999,0.9921273943754944,0.9951246787569504,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_274__pod_dmdc__pod4__dmdc4__delay1,pod_dmdc,4.0,4,1,True,False,0.3755524931183125,0.3728262388816481,-0.0027262542366644,0.9927406839613082,0.9951078207961048,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_286__pod_dmdc__pod0p999__dmdc4__delay1,pod_dmdc,0.999,4,1,True,False,0.3755524931183125,0.3728262388816481,-0.0027262542366644,0.9927406839613082,0.9951078207961048,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_255__pod_dmdc__pod3__dmdcfull__delay4,pod_dmdc,3.0,full,4,True,False,0.4072339740283941,0.4125522146375133,0.0053182406091192,1.013059422711005,0.992955404265368,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_264__pod_dmdc__pod3__dmdc4__delay4,pod_dmdc,3.0,4,4,True,False,0.4072339740283941,0.4125522146375133,0.0053182406091192,1.013059422711005,0.992955404265368,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_254__pod_dmdc__pod3__dmdcfull__delay2,pod_dmdc,3.0,full,2,True,False,0.4170541171363881,0.4225276027183539,0.0054734855819658,1.0131241614866395,0.9932578636482128,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_263__pod_dmdc__pod3__dmdc4__delay2,pod_dmdc,3.0,4,2,True,False,0.4170541171363881,0.4225276027183539,0.0054734855819658,1.0131241614866395,0.9932578636482128,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_253__pod_dmdc__pod3__dmdcfull__delay1,pod_dmdc,3.0,full,1,True,False,0.4218585129317282,0.4274017554834949,0.0055432425517667,1.0131400514197135,0.9934056302719184,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_262__pod_dmdc__pod3__dmdc4__delay1,pod_dmdc,3.0,4,1,True,False,0.4218585129317282,0.4274017554834949,0.0055432425517667,1.0131400514197135,0.9934056302719184,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_273__pod_dmdc__pod4__dmdc3__delay4,pod_dmdc,4.0,3,4,True,False,0.438401560635853,0.4352624957605544,-0.0031390648752986,0.9928397497701748,0.992946403172044,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_285__pod_dmdc__pod0p999__dmdc3__delay4,pod_dmdc,0.999,3,4,True,False,0.438401560635853,0.4352624957605544,-0.0031390648752986,0.9928397497701748,0.992946403172044,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_261__pod_dmdc__pod3__dmdc3__delay4,pod_dmdc,3.0,3,4,True,False,0.4388240275764129,0.4356939107606716,-0.0031301168157412,0.9928670341206504,0.9929463942008409,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_272__pod_dmdc__pod4__dmdc3__delay2,pod_dmdc,4.0,3,2,True,False,0.4479375715033594,0.4450371815303562,-0.0029003899730031,0.993525012953772,0.9932488984313592,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_284__pod_dmdc__pod0p999__dmdc3__delay2,pod_dmdc,0.999,3,2,True,False,0.4479375715033594,0.4450371815303562,-0.0029003899730031,0.993525012953772,0.9932488984313592,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_260__pod_dmdc__pod3__dmdc3__delay2,pod_dmdc,3.0,3,2,True,False,0.4482985258492906,0.4454064111203247,-0.0028921147289658,0.9935486856141522,0.9932488870139884,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_271__pod_dmdc__pod4__dmdc3__delay1,pod_dmdc,4.0,3,1,True,False,0.4525585866883432,0.4498051588412156,-0.0027534278471276,0.9939158643143284,0.9933966695974492,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_283__pod_dmdc__pod0p999__dmdc3__delay1,pod_dmdc,0.999,3,1,True,False,0.4525585866883432,0.4498051588412156,-0.0027534278471276,0.9939158643143284,0.9933966695974492,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_259__pod_dmdc__pod3__dmdc3__delay1,pod_dmdc,3.0,3,1,True,False,0.4528971852386617,0.4501539793938803,-0.0027432058447813,0.9939429832328592,0.9933966567193836,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_243__pod_dmdc__pod2__dmdcfull__delay4,pod_dmdc,2.0,full,4,True,False,0.4528373661639994,0.454011039393821,0.0011736732298215,1.002591820634776,0.9932665417836236,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_249__pod_dmdc__pod2__dmdc3__delay4,pod_dmdc,2.0,3,4,True,False,0.4528373661639994,0.454011039393821,0.0011736732298215,1.002591820634776,0.9932665417836236,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_252__pod_dmdc__pod2__dmdc4__delay4,pod_dmdc,2.0,4,4,True,False,0.4528373661639994,0.454011039393821,0.0011736732298215,1.002591820634776,0.9932665417836236,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_270__pod_dmdc__pod4__dmdc2__delay4,pod_dmdc,4.0,2,4,True,False,0.4589997690130954,0.4592694327918468,0.0002696637787513,1.0005875030816054,0.9932601838846652,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_282__pod_dmdc__pod0p999__dmdc2__delay4,pod_dmdc,0.999,2,4,True,False,0.4589997690130954,0.4592694327918468,0.0002696637787513,1.0005875030816054,0.9932601838846652,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_258__pod_dmdc__pod3__dmdc2__delay4,pod_dmdc,3.0,2,4,True,False,0.4594875812710578,0.4597533699507136,0.0002657886796557,1.0005784458394296,0.9932601826711328,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_242__pod_dmdc__pod2__dmdcfull__delay2,pod_dmdc,2.0,full,2,True,False,0.4586997636836002,0.4599674032523495,0.0012676395687493,1.0027635496442586,0.9933139341707512,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_248__pod_dmdc__pod2__dmdc3__delay2,pod_dmdc,2.0,3,2,True,False,0.4586997636836002,0.4599674032523495,0.0012676395687493,1.0027635496442586,0.9933139341707512,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_251__pod_dmdc__pod2__dmdc4__delay2,pod_dmdc,2.0,4,2,True,False,0.4586997636836002,0.4599674032523495,0.0012676395687493,1.0027635496442586,0.9933139341707512,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_246__pod_dmdc__pod2__dmdc2__delay4,pod_dmdc,2.0,2,4,True,False,0.4607881810875476,0.4610463082935405,0.0002581272059928,1.0005601862560445,0.9932603881469256,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_241__pod_dmdc__pod2__dmdcfull__delay1,pod_dmdc,2.0,full,1,True,False,0.4615546509243651,0.4628351064060097,0.0012804554816445,1.0027742228988057,0.9933354351380642,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_247__pod_dmdc__pod2__dmdc3__delay1,pod_dmdc,2.0,3,1,True,False,0.4615546509243651,0.4628351064060097,0.0012804554816445,1.0027742228988057,0.9933354351380642,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_250__pod_dmdc__pod2__dmdc4__delay1,pod_dmdc,2.0,4,1,True,False,0.4615546509243651,0.4628351064060097,0.0012804554816445,1.0027742228988057,0.9933354351380642,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_269__pod_dmdc__pod4__dmdc2__delay2,pod_dmdc,4.0,2,2,True,False,0.4648735801860401,0.4653018719632102,0.0004282917771701,1.000921308061858,0.9933078387811878,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_281__pod_dmdc__pod0p999__dmdc2__delay2,pod_dmdc,0.999,2,2,True,False,0.4648735801860401,0.4653018719632102,0.0004282917771701,1.000921308061858,0.9933078387811878,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_257__pod_dmdc__pod3__dmdc2__delay2,pod_dmdc,3.0,2,2,True,False,0.4652959765636585,0.4657205992237327,0.0004246226600742,1.000912586141858,0.9933078374909812,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_245__pod_dmdc__pod2__dmdc2__delay2,pod_dmdc,2.0,2,2,True,False,0.4665924886644512,0.4670089220760141,0.0004164334115629,1.0008924991757902,0.9933080240095604,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_268__pod_dmdc__pod4__dmdc2__delay1,pod_dmdc,4.0,2,1,True,False,0.4677074952695495,0.4681899116441352,0.0004824163745857,1.0010314488851793,0.9933294615320932,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_280__pod_dmdc__pod0p999__dmdc2__delay1,pod_dmdc,0.999,2,1,True,False,0.4677074952695495,0.4681899116441352,0.0004824163745857,1.0010314488851793,0.9933294615320932,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_256__pod_dmdc__pod3__dmdc2__delay1,pod_dmdc,3.0,2,1,True,False,0.4681049674821785,0.4685859088772901,0.0004809413951116,1.0010274221136737,0.9933294601981728,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_244__pod_dmdc__pod2__dmdc2__delay1,pod_dmdc,2.0,2,1,True,False,0.4693998287126857,0.4698748655955961,0.0004750368829103,1.0010120090674366,0.9933296377588752,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_106__adaptive_dmdc__pod2__dmdc4__delay1,adaptive_dmdc,2.0,4,1,True,False,0.5552949165079496,0.5540239391819981,-0.0012709773259514,0.9977111670066344,0.034817226756587,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_118__adaptive_dmdc__pod3__dmdc4__delay1,adaptive_dmdc,3.0,4,1,True,False,0.5552949165079496,0.5540239391819981,-0.0012709773259514,0.9977111670066344,0.034817226756587,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_130__adaptive_dmdc__pod4__dmdc4__delay1,adaptive_dmdc,4.0,4,1,True,False,0.5552949165079496,0.5540239391819981,-0.0012709773259514,0.9977111670066344,0.034817226756587,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_142__adaptive_dmdc__pod0p999__dmdc4__delay1,adaptive_dmdc,0.999,4,1,True,False,0.5552949165079496,0.5540239391819981,-0.0012709773259514,0.9977111670066344,0.034817226756587,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_107__adaptive_dmdc__pod2__dmdc4__delay2,adaptive_dmdc,2.0,4,2,True,False,0.5621460710699362,0.5605929358089662,-0.00155313526097,0.9972371322314608,0.0347067323676634,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_119__adaptive_dmdc__pod3__dmdc4__delay2,adaptive_dmdc,3.0,4,2,True,False,0.5621460710699362,0.5605929358089662,-0.00155313526097,0.9972371322314608,0.0347067323676634,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_131__adaptive_dmdc__pod4__dmdc4__delay2,adaptive_dmdc,4.0,4,2,True,False,0.5621460710699362,0.5605929358089662,-0.00155313526097,0.9972371322314608,0.0347067323676634,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_143__adaptive_dmdc__pod0p999__dmdc4__delay2,adaptive_dmdc,0.999,4,2,True,False,0.5621460710699362,0.5605929358089662,-0.00155313526097,0.9972371322314608,0.0347067323676634,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_108__adaptive_dmdc__pod2__dmdc4__delay4,adaptive_dmdc,2.0,4,4,True,False,0.5887611848035288,0.5877813711215388,-0.0009798136819899,0.99833580455492,0.0346107524934134,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_120__adaptive_dmdc__pod3__dmdc4__delay4,adaptive_dmdc,3.0,4,4,True,False,0.5887611848035288,0.5877813711215388,-0.0009798136819899,0.99833580455492,0.0346107524934134,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_132__adaptive_dmdc__pod4__dmdc4__delay4,adaptive_dmdc,4.0,4,4,True,False,0.5887611848035288,0.5877813711215388,-0.0009798136819899,0.99833580455492,0.0346107524934134,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_144__adaptive_dmdc__pod0p999__dmdc4__delay4,adaptive_dmdc,0.999,4,4,True,False,0.5887611848035288,0.5877813711215388,-0.0009798136819899,0.99833580455492,0.0346107524934134,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_204__ridge_dmdc__pod2__dmdc4__delay4,ridge_dmdc,2.0,4,4,True,False,0.756315901958641,0.7488273675516551,-0.0074885344069858,0.9900986685754026,0.9999959931947282,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_216__ridge_dmdc__pod3__dmdc4__delay4,ridge_dmdc,3.0,4,4,True,False,0.756315901958641,0.7488273675516551,-0.0074885344069858,0.9900986685754026,0.9999959931947282,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_228__ridge_dmdc__pod4__dmdc4__delay4,ridge_dmdc,4.0,4,4,True,False,0.756315901958641,0.7488273675516551,-0.0074885344069858,0.9900986685754026,0.9999959931947282,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
run_240__ridge_dmdc__pod0p999__dmdc4__delay4,ridge_dmdc,0.999,4,4,True,False,0.756315901958641,0.7488273675516551,-0.0074885344069858,0.9900986685754026,0.9999959931947282,0.0,stable_by_spectral_radius,ok,,with_h,broader_tuned_surface,outputs/overnight_sweeps/jsalt2_with_h_pair_20260601
