source_id,study_case,sample_time_s,station_name,leg_group,section_progress_0to1,mdot_kg_s,abs_mdot_kg_s,areaAverage_p_rgh_pa,bulk_T_k,latest_processor_time
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,mdot_pipeleg_lower_05_straight,lower_leg,0.5,-0.013685888885970988,0.013685888885970988,0.4884738038236972,455.1124127657653,8203
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,mdot_pipeleg_right_02_middle,right_leg,0.5,-0.013685815585301016,0.013685815585301016,4.891988303986075,449.9766976990529,8203
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,mdot_pipeleg_upper_05_cooler,upper_leg,0.5,-0.013685890988144003,0.013685890988144003,15.641520430785498,455.0887394734611,8203
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,mdot_pipeleg_left_04_test_section,left_leg,0.5,-0.013685871245800197,0.013685871245800197,-12.530265767375006,460.14671254939583,8203
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3,2514.0,mdot_pipeleg_lower_05_straight,lower_leg,0.5,-0.014924848854549996,0.014924848854549996,1.1491716577829867,462.2741160696352,2514
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3,2514.0,mdot_pipeleg_right_02_middle,right_leg,0.5,-0.014924884735853024,0.014924884735853024,6.650727639260355,456.99026004389077,2514
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3,2514.0,mdot_pipeleg_upper_05_cooler,upper_leg,0.5,-0.014925080776452986,0.014925080776452986,19.408827144251816,462.1768267380764,2514
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3,2514.0,mdot_pipeleg_left_04_test_section,left_leg,0.5,-0.014924941859800691,0.014924941859800691,-11.505680182492139,467.37527247237614,2514
val_water_test_1_coarse_mesh_laminar,Water 1,5274.0,mdot_pipeleg_lower_05_straight,lower_leg,0.5,-0.0065293168423649975,0.0065293168423649975,-0.1980801039470712,315.0327811581621,5274
val_water_test_1_coarse_mesh_laminar,Water 1,5274.0,mdot_pipeleg_right_02_middle,right_leg,0.5,-0.0065291794837200046,0.0065291794837200046,0.12378432163124208,314.2720802571683,5274
val_water_test_1_coarse_mesh_laminar,Water 1,5274.0,mdot_pipeleg_upper_05_cooler,upper_leg,0.5,-0.006529467763242005,0.006529467763242005,2.063483988205988,314.9397832809105,5274
val_water_test_1_coarse_mesh_laminar,Water 1,5274.0,mdot_pipeleg_left_04_test_section,left_leg,0.5,-0.0065293214029074976,0.0065293214029074976,-1.0720411593960713,315.8034816672622,5274
