source_id,study_case,time_s,patch_name,q_min_w_m2,q_max_w_m2,q_total_w,q_avg_w_m2,leg_group,thermal_role,patch_rank_in_leg,patch_count_in_leg,section_progress_0to1,latest_processor_time,area_m2,areaAverage_T_w_k,areaAverage_wallHeatFlux_w_m2,sample_time_s,areaAverage_Nu_ref
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left,-512.7468066,-266.2235437,-1.150863457,-393.5220761,junctions,junction,1,21,0.0,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left_left_extension,-424.463518,-244.9530213,-0.8478076247,-388.3063844,junctions,junction,2,21,0.05,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left_left_step,0.0,0.0,0.0,0.0,junctions,junction,3,21,0.1,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left_left_stub,-11399.87865,-7825.772269,-5.362370801,-10613.05682,junctions,junction,4,21,0.15,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left_lower_extension,-252.9985478,-38.19985452,-0.2633944513,-137.8719067,junctions,junction,5,21,0.2,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_left_lower_stub,-1376.454335,-1366.758663,-0.531450595,-1373.821912,junctions,junction,6,21,0.25,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right,-413.4540462,-331.6350741,-1.153531039,-394.4342478,junctions,junction,7,21,0.3,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right_lower_extension,-370.7970085,-29.60058164,-0.5923593743,-167.1244606,junctions,junction,8,21,0.35,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right_lower_stub,-851.1200795,-844.4062457,-0.3284998,-849.1856584,junctions,junction,9,21,0.4,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right_right_extension,-398.1459633,-241.1629285,-0.8119980242,-371.9051442,junctions,junction,10,21,0.45,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right_right_step,0.0,0.0,0.0,0.0,junctions,junction,11,21,0.5,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_lower_right_right_stub,-10753.45785,-7711.374709,-5.121746168,-10136.81917,junctions,junction,12,21,0.55,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_left,-455.932734,-433.7568991,-1.200636515,-446.7816317,junctions,junction,13,21,0.6,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_left_upper_extension,-452.8444925,-340.2912305,-4.621104286,-434.5895383,junctions,junction,14,21,0.65,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_left_upper_stub,-11120.76647,-9662.858787,-4.113208054,-10632.81405,junctions,junction,15,21,0.7,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right,-438.5033942,-358.025239,-1.230961394,-420.9105117,junctions,junction,16,21,0.75,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right_right_extension,-434.5972252,-257.0950198,-0.8818164254,-403.882836,junctions,junction,17,21,0.8,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right_right_step,0.0,0.0,0.0,0.0,junctions,junction,18,21,0.85,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right_right_stub,-12255.58543,-8628.544245,-5.81938046,-11517.55777,junctions,junction,19,21,0.9,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right_upper_extension,-436.7877788,-316.2754034,-2.20303521,-414.3667816,junctions,junction,20,21,0.95,8203,,,,,
val_salt_test_2_coarse_mesh_laminar,Salt 2,8203.0,junction_upper_right_upper_stub,-12902.04823,-10932.67444,-4.724264725,-12212.42099,junctions,junction,21,21,1.0,8203,,,,,
