source_id,study_case,run_status,convergence_reached,runtime_root,tmp_case_dir,latest_processor_time,wall_patch_rows,bulk_station_rows,joined_rows,section_rows,circuit_rows,nonempty_Tw_rows,nonempty_qw_rows,nonempty_Tbulk_rows,nonempty_h_rows,success,note,command_log_json
val_salt_test_2_coarse_mesh_laminar,Salt 2,running,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar,4069,49,4,49,8,8,0,0,4,0,partial,Salt 2 should always use the latest written processor time rather than the older probe-history horizon.,"[{""command"": ""reconstructPar -case /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar -time 4069 -fields '(T wallHeatFlux p_rgh phi)'"", ""stdout_tail"": ""n Source CFD Toolbox\n   \\\\    /   O peration     | Website:  https://openfoam.org\n    \\\\  /    A nd           | Version:  13\n     \\\\/     M anipulation  |\n\\*---------------------------------------------------------------------------*/\nBuild  : 13\nExec   : reconstructPar -case /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar -time 4069 -fields (T wallHeatFlux p_rgh phi)\nDate   : Jun 05 2026\nTime   : 17:30:16\nHost   : \""login3.ls6.tacc.utexas.edu\""\nPID    : 1993002\nI/O    : collated (maxThreadFileBufferSize 2e+09)\n         Threading activated since maxThreadFileBufferSize > 0.\n         Requires large enough buffer to collect all data or thread support \n         enabled in MPI. If thread support cannot be enabled, deactivate\n         threading by setting maxThreadFileBufferSize to 0 in\n         $FOAM_ETC/controlDict\nCase   : /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar\nnProcs : 1\nsigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).\nfileModificationChecking : Monitoring run-time modified files using timeStamp (fileModificationSkew 10)\nallowSystemOperations : Allowing user-supplied system call operations\n\n// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //\nCreate time\n\n--> FOAM Warning : \n    From function Foam::Time::Time(const Foam::word&, const Foam::argList&, bool)\n    in file db/Time/Time.C at line 414\n    Reading \""/tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar/system/controlDict\"" at line 523\n    OptimisationSwitches in system/controlDict are only processed if reconstructPar is run in the \""/tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar\"" directory\nTime = 4069s\n\nReconstructing FV fields\n\n    Reconstructing volScalarFields\n\n        p_rgh\n        wallHeatFlux\n        T\n\n    Reconstructing volVectorFields\n\n\n    Reconstructing surfaceScalarFields\n\n        phi\n\nReconstructing point fields\n\n    (no point fields)\n\nCollecting uniform files\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}, {""command"": ""foamPostProcess -case /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar -dict /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar/system/zero_advance_transport_functions -time 4069"", ""stdout_tail"": ""patch_pipeleg_right_01_lower read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_02_middle read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_03_upper read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_01_straight read:\n    number of faces = 4656\n    area = 0.00762101055\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_02_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_03_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_04_reducer read:\n    number of faces = 3552\n    area = 0.00578400396\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_05_cooler read:\n    number of faces = 11184\n    area = 0.0182105072\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_06_reducer read:\n    number of faces = 3552\n    area = 0.00578400395\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_07_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_08_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_09_straight read:\n    number of faces = 4656\n    area = 0.00762101054\n    operation = areaAverage\n\n\nReading fields:\n    volScalarFields: T--> FOAM Warning : \n--> FOAM FATAL IO ERROR: \nwrong token type - expected Scalar, found on line 2201661 the punctuation token '-'\n\nfile: /tmp/ethan_zero_advance_transport/val_salt_test_2_coarse_mesh_laminar/4069/T at line 2201661.\n\n    From function Foam::Istream& Foam::operator>>(Istream&, doubleScalar&)\n    in file lnInclude/Scalar.C at line 102.\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}]"
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3,terminated,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,/tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh,2514,49,4,49,8,8,0,0,4,0,partial,,"[{""command"": ""reconstructPar -case /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh -time 2514 -fields '(T wallHeatFlux p_rgh phi)'"", ""stdout_tail"": "" | Website:  https://openfoam.org\n    \\\\  /    A nd           | Version:  13\n     \\\\/     M anipulation  |\n\\*---------------------------------------------------------------------------*/\nBuild  : 13\nExec   : reconstructPar -case /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh -time 2514 -fields (T wallHeatFlux p_rgh phi)\nDate   : Jun 05 2026\nTime   : 17:31:33\nHost   : \""login3.ls6.tacc.utexas.edu\""\nPID    : 2013596\nI/O    : collated (maxThreadFileBufferSize 2e+09)\n         Threading activated since maxThreadFileBufferSize > 0.\n         Requires large enough buffer to collect all data or thread support \n         enabled in MPI. If thread support cannot be enabled, deactivate\n         threading by setting maxThreadFileBufferSize to 0 in\n         $FOAM_ETC/controlDict\nCase   : /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh\nnProcs : 1\nsigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).\nfileModificationChecking : Monitoring run-time modified files using timeStamp (fileModificationSkew 10)\nallowSystemOperations : Allowing user-supplied system call operations\n\n// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //\nCreate time\n\n--> FOAM Warning : \n    From function Foam::Time::Time(const Foam::word&, const Foam::argList&, bool)\n    in file db/Time/Time.C at line 414\n    Reading \""/tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh/system/controlDict\"" at line 523\n    OptimisationSwitches in system/controlDict are only processed if reconstructPar is run in the \""/tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh\"" directory\nTime = 2514s\n\nReconstructing FV fields\n\n    Reconstructing volScalarFields\n\n        p_rgh\n        wallHeatFlux\n        T\n\n    Reconstructing volVectorFields\n\n\n    Reconstructing surfaceScalarFields\n\n        phi\n\nReconstructing point fields\n\n    (no point fields)\n\nCollecting uniform files\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}, {""command"": ""foamPostProcess -case /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh -dict /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh/system/zero_advance_transport_functions -time 2514"", ""stdout_tail"": ""g_right_01_lower read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_02_middle read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_03_upper read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_01_straight read:\n    number of faces = 4656\n    area = 0.00762101055\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_02_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_03_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_04_reducer read:\n    number of faces = 3552\n    area = 0.00578400396\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_05_cooler read:\n    number of faces = 11184\n    area = 0.0182105072\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_06_reducer read:\n    number of faces = 3552\n    area = 0.00578400395\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_07_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_08_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_09_straight read:\n    number of faces = 4656\n    area = 0.00762101054\n    operation = areaAverage\n\n\nReading fields:\n    volScalarFields: T--> FOAM Warning : \n--> FOAM FATAL IO ERROR: \nwrong token type - expected Scalar, found on line 2220280 the punctuation token '-'\n\nfile: /tmp/ethan_zero_advance_transport/viscosity_screening_salt_test_3_jin_coarse_mesh/2514/T at line 2220280.\n\n    From function Foam::Istream& Foam::operator>>(Istream&, doubleScalar&)\n    in file lnInclude/Scalar.C at line 102.\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}]"
val_water_test_1_coarse_mesh_laminar,Water 1,terminated,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar,/tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar,5274,49,4,49,8,8,49,49,4,28,yes,,"[{""command"": ""reconstructPar -case /tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar -time 5274 -fields '(T wallHeatFlux p_rgh phi)'"", ""stdout_tail"": ""urce CFD Toolbox\n   \\\\    /   O peration     | Website:  https://openfoam.org\n    \\\\  /    A nd           | Version:  13\n     \\\\/     M anipulation  |\n\\*---------------------------------------------------------------------------*/\nBuild  : 13\nExec   : reconstructPar -case /tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar -time 5274 -fields (T wallHeatFlux p_rgh phi)\nDate   : Jun 05 2026\nTime   : 17:33:12\nHost   : \""login3.ls6.tacc.utexas.edu\""\nPID    : 2018469\nI/O    : collated (maxThreadFileBufferSize 2e+09)\n         Threading activated since maxThreadFileBufferSize > 0.\n         Requires large enough buffer to collect all data or thread support \n         enabled in MPI. If thread support cannot be enabled, deactivate\n         threading by setting maxThreadFileBufferSize to 0 in\n         $FOAM_ETC/controlDict\nCase   : /tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar\nnProcs : 1\nsigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).\nfileModificationChecking : Monitoring run-time modified files using timeStamp (fileModificationSkew 10)\nallowSystemOperations : Allowing user-supplied system call operations\n\n// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //\nCreate time\n\n--> FOAM Warning : \n    From function Foam::Time::Time(const Foam::word&, const Foam::argList&, bool)\n    in file db/Time/Time.C at line 414\n    Reading \""/tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar/system/controlDict\"" at line 549\n    OptimisationSwitches in system/controlDict are only processed if reconstructPar is run in the \""/tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar\"" directory\nTime = 5274s\n\nReconstructing FV fields\n\n    Reconstructing volScalarFields\n\n        p_rgh\n        wallHeatFlux\n        T\n\n    Reconstructing volVectorFields\n\n\n    Reconstructing surfaceScalarFields\n\n        phi\n\nReconstructing point fields\n\n    (no point fields)\n\nCollecting uniform files\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}, {""command"": ""foamPostProcess -case /tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar -dict /tmp/ethan_zero_advance_transport/val_water_test_1_coarse_mesh_laminar/system/zero_advance_transport_functions -time 5274"", ""stdout_tail"": ""on = areaAverage\n\nsurfaceFieldValue patch_pipeleg_lower_08_straight read:\n    number of faces = 3312\n    area = 0.00543602718\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_lower_09_fitting read:\n    number of faces = 1296\n    area = 0.00218498337\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_01_lower read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_02_middle read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_right_03_upper read:\n    number of faces = 12960\n    area = 0.0211450004\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_01_straight read:\n    number of faces = 4656\n    area = 0.00762101055\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_02_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_03_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_04_reducer read:\n    number of faces = 3552\n    area = 0.00578400396\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_05_cooler read:\n    number of faces = 11184\n    area = 0.0182105072\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_06_reducer read:\n    number of faces = 3552\n    area = 0.00578400395\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_07_straight read:\n    number of faces = 4896\n    area = 0.0080039515\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_08_bend read:\n    number of faces = 384\n    area = 0.000660878474\n    operation = areaAverage\n\nsurfaceFieldValue patch_pipeleg_upper_09_straight read:\n    number of faces = 4656\n    area = 0.00762101054\n    operation = areaAverage\n\n\nReading fields:\n    volScalarFields: T wallHeatFlux\n\n\nExecuting functionObjects\n\nEnd\n\n"", ""stderr_tail"": ""\nLmod is automatically replacing \""intel/19.1.1\"" with \""gcc/13.2.0\"".\n\n\nInactive Modules:\n  1) python3\n\nThe following have been reloaded with a version change:\n  1) impi/19.0.9 => impi/21.12\n\n""}]"
